"Index","Open","High","Low","Close","Volume"
2057-08-13,255.5,255.6,248.1,250.1,127
2057-08-14,284.8,284.8,279.4,280.1,286
2057-08-15,281,286,279.5,285.3,551
2057-08-16,284.5,295.3,276,290,1011
2057-08-17,292,298.3,288,292.8,994
2057-08-18,292,293.8,290.3,292.5,293
2057-08-19,292.6,300.2,290.2,300.2,628
2057-08-20,302.6,310.2,296.3,310.2,1092
2057-08-21,312,318.2,307.6,315.2,930
2057-08-22,312,312,305.2,305.2,676
2057-08-23,303.3,304.5,297.8,298.6,492
2057-08-24,300,308.4,300,308.4,436
2057-08-25,308.4,317,303.5,307.5,577
2057-08-26,305.5,310,302.7,303.1,374
2057-08-27,300.5,307,300.5,305,262
2057-08-28,306,312.6,305.5,309.5,296
2057-08-29,310,319.5,307.5,318.8,675
2057-08-30,316.3,321.8,312,320.9,605
2057-08-31,319.9,319.9,314,315,620
2057-09-01,315,316.8,308,311,427
2057-09-02,316,317.4,308.4,316.7,364
2057-09-03,317.8,318.5,312,314.9,206
2057-09-04,315.5,316.9,312.5,314,148
2057-09-05,314,316,306,309.3,435
2057-09-06,299.3,305,299.3,300.5,567
2057-09-07,290.5,290.5,290.5,290.5,235
2057-09-08,281.5,283.6,280.5,280.5,723
2057-09-09,282,282.5,275.7,275.9,542
2057-09-10,278.2,283.5,276.5,280.5,416
2057-09-11,281.5,285.5,278.2,281.5,344
2057-09-12,280.5,287.7,276.7,287.2,476
2057-09-13,288.8,290.8,282.6,283.4,294
2057-09-14,281.5,287.1,279.8,280,275
2057-09-15,280,284,277.7,283,142
2057-09-16,282,283.5,280.2,283.5,85
2057-09-17,283,283,276.5,279.3,164
2057-09-18,282,282,275.1,276.1,250
2057-09-19,275,277.8,273.8,274.8,293
2057-09-20,274.5,280,274,277,142
2057-09-21,276.5,282,276.5,281,57
2057-09-22,283,285.6,282.1,285,129
2057-09-23,288.2,294.7,288,294.3,144
2057-09-24,292.8,296,292.5,293.3,97
2057-09-25,290.9,304.8,290.1,304.8,88
2057-09-26,310,312.4,306.6,309.3,512
2057-09-27,313,319.3,312.8,319.3,1038
2057-09-28,312,313.9,308.5,309,749
2057-09-29,309,312.5,308.2,309.6,475
2057-09-30,311,312.8,305.2,305.5,810
2057-10-01,306.5,308,297.1,297.3,1679
2057-10-02,296,301.6,295,295.3,1102
2057-10-03,296,298.6,295.1,298.5,588
2057-10-04,302,303.7,299,302.4,414
2057-10-05,304,308,300.5,305.3,928
2057-10-06,299.8,300,295.3,295.3,835
2057-10-07,292.5,295,290.1,292.2,688
2057-10-08,294.9,297.1,291.5,295.7,742
2057-10-09,294,300,293,296,548
2057-10-10,294,294.2,291.4,292.3,552
2057-10-11,293,302.3,293,302.3,694
2057-10-12,305.5,311,304.8,310.2,1038
2057-10-13,310.5,311.5,304.8,304.8,634
2057-10-14,306.5,306.9,304,304.2,262
2057-10-15,303.4,306.5,303.3,304.7,330
2057-10-16,306,314.7,305.7,314.7,449
2057-10-17,323,324.7,320.2,322.5,940
2057-10-18,322.5,330,319.1,329,649
2057-10-19,331,339,330.5,337.5,1147
2057-10-20,332,336.8,327.5,327.5,757
2057-10-21,329,337.5,325.2,336.7,905
2057-10-22,346.7,346.7,345,346.7,466
